Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
30,No,Travel_Rarely,1344,Research & Development,18,3,Medical,1,1985,3,Male,77,4,2,Human Resources,3,Married,1218,5182,4,Y,No,12,4,4,80,2,33,3,2,8,5,5,2
26,No,Travel_Frequently,732,Research & Development,3,4,Technical Degree,1,1248,3,Male,55,2,3,Human Resources,4,Single,6204,6354,9,Y,No,20,3,3,80,1,11,0,3,1,2,0,1
25,No,Travel_Frequently,1341,Research & Development,23,1,Medical,1,1104,3,Male,95,3,1,Human Resources,3,Single,7393,11743,6,Y,No,14,3,2,80,2,9,3,3,7,0,1,4
21,No,Non-Travel,323,Human Resources,20,4,Marketing,1,1102,4,Male,30,3,2,Manager,4,Single,1440,24347,4,Y,No,19,4,3,80,1,10,3,4,6,4,0,8
30,No,Travel_Rarely,1440,Sales,3,1,Medical,1,860,3,Female,96,3,2,Healthcare Representative,4,Married,16961,18291,0,Y,No,16,3,3,80,1,7,2,3,5,6,1,6
29,No,Travel_Rarely,348,Sales,27,3,Life Sciences,1,947,4,Female,51,3,2,Laboratory Technician,3,Divorced,1009,11608,1,Y,No,12,3,4,80,0,3,5,3,7,7,7,0
22,No,Travel_Rarely,174,Sales,23,4,Human Resources,1,347,3,Male,79,1,1,Sales Executive,4,Married,2821,23766,0,Y,No,16,3,4,80,0,16,4,2,3,3,11,3
38,No,Non-Travel,559,Sales,8,3,Medical,1,1980,3,Female,31,3,5,Research Scientist,3,Divorced,3429,10531,4,Y,No,12,3,3,80,2,12,4,3,6,1,2,2
29,No,Travel_Rarely,1036,Sales,1,3,Technical Degree,1,1140,4,Male,50,3,2,Research Scientist,3,Married,6662,2607,4,Y,No,11,3,2,80,0,7,0,3,3,9,11,11
56,No,Travel_Frequently,134,Research & Development,15,4,Marketing,1,658,4,Male,80,3,3,Sales Executive,1,Married,2200,26569,2,Y,No,23,3,4,80,1,10,3,2,8,10,1,0
32,No,Travel_Rarely,570,Research & Development,2,4,Medical,1,1,3,Male,88,2,2,Healthcare Representative,2,Divorced,4928,13024,1,Y,No,12,3,4,80,1,10,1,3,10,2,0,0
27,No,Travel_Rarely,338,Research & Development,1,2,Marketing,1,244,4,Female,90,4,1,Healthcare Representative,4,Married,3558,21023,5,Y,No,13,3,4,80,1,22,2,3,23,10,0,2
49,No,Travel_Rarely,183,Sales,10,3,Life Sciences,1,1,4,Male,54,3,1,Sales Executive,4,Married,2015,11488,3,Y,No,14,3,2,80,1,9,2,4,6,2,1,2
43,No,Travel_Rarely,841,Sales,16,3,Life Sciences,1,440,2,Female,47,2,1,Healthcare Representative,3,Married,12692,19583,1,Y,No,12,4,4,80,2,14,2,3,9,11,0,2
36,No,Travel_Rarely,1150,Research & Development,9,4,Medical,1,1531,4,Female,62,4,1,Sales Representative,4,Married,2825,19791,8,Y,Yes,22,3,2,80,1,8,3,3,6,1,1,12
19,Yes,Travel_Rarely,508,Sales,1,3,Life Sciences,1,1369,4,Male,95,4,2,Healthcare Representative,2,Married,1501,23857,0,Y,Yes,11,4,4,80,1,1,3,2,2,2,0,3
40,No,Travel_Frequently,889,Sales,10,4,Medical,1,1466,4,Male,96,2,1,Laboratory Technician,1,Married,9074,6131,1,Y,No,12,3,2,80,3,9,2,1,9,7,0,2
33,No,Travel_Rarely,1255,Research & Development,10,2,Medical,1,62,1,Male,100,3,1,Research Scientist,4,Married,4380,5425,2,Y,No,13,3,3,80,1,24,3,3,10,4,4,2
50,No,Travel_Rarely,148,Research & Development,8,3,Life Sciences,1,626,4,Male,59,3,2,Research Director,4,Divorced,3455,20089,1,Y,Yes,18,3,4,80,0,22,3,3,3,1,0,8
33,No,Travel_Frequently,1183,Human Resources,4,3,Medical,1,1077,3,Female,58,3,1,Manufacturing Director,1,Divorced,15561,11905,0,Y,No,13,3,3,80,0,2,2,3,1,2,0,4
42,Yes,Travel_Frequently,232,Sales,1,3,Life Sciences,1,1067,2,Male,75,1,1,Research Scientist,1,Divorced,2733,2094,1,Y,Yes,12,3,1,80,0,14,2,2,6,10,4,2
50,No,Travel_Rarely,488,Research & Development,5,1,Life Sciences,1,672,3,Female,43,2,2,Sales Executive,4,Single,16168,2523,7,Y,Yes,14,4,2,80,0,18,2,3,3,7,13,7
30,No,Travel_Rarely,122,Human Resources,1,4,Medical,1,731,4,Male,69,3,3,Sales Executive,4,Married,7814,17554,2,Y,No,16,3,3,80,1,0,2,3,5,0,0,2
44,No,Travel_Rarely,554,Research & Development,2,3,Life Sciences,1,1859,4,Male,58,4,3,Sales Executive,3,Married,14748,6426,1,Y,No,13,3,4,80,2,5,4,3,11,1,0,4
54,Yes,Travel_Rarely,1288,Sales,3,1,Medical,1,1736,1,Male,74,3,1,Sales Executive,1,Married,1923,2925,7,Y,Yes,14,4,2,80,0,3,2,3,0,2,1,5
35,No,Travel_Rarely,1288,Research & Development,12,3,Life Sciences,1,1313,4,Male,34,3,3,Manager,3,Single,6151,3409,0,Y,No,13,3,2,80,1,10,5,2,5,0,15,4
33,No,Travel_Rarely,1293,Research & Development,22,3,Medical,1,82,1,Male,39,2,1,Research Scientist,1,Divorced,6209,21980,5,Y,No,11,3,1,80,0,8,2,3,12,1,0,7
33,No,Travel_Rarely,920,Research & Development,3,3,Life Sciences,1,260,3,Male,49,3,2,Research Scientist,4,Divorced,4359,3829,4,Y,No,12,3,1,80,3,9,2,4,3,4,1,1
56,No,Travel_Rarely,1339,Research & Development,1,3,Life Sciences,1,593,4,Female,93,2,4,Laboratory Technician,1,Married,3755,9055,6,Y,No,17,3,3,80,1,7,2,4,1,9,0,4
55,No,Travel_Rarely,784,Sales,8,4,Medical,1,238,4,Female,43,2,4,Sales Representative,4,Married,4991,5899,1,Y,No,12,3,2,80,1,12,2,4,36,2,0,7
48,No,Travel_Frequently,505,Research & Development,10,2,Life Sciences,1,1878,4,Female,71,3,2,Laboratory Technician,3,Married,7536,10818,2,Y,No,15,4,4,80,1,8,2,2,9,1,0,3
28,No,Travel_Rarely,216,Research & Development,4,2,Life Sciences,1,985,3,Male,80,3,2,Sales Executive,1,Married,19999,20991,1,Y,No,14,3,2,80,0,12,4,3,1,0,5,8
35,No,Travel_Rarely,541,Research & Development,21,2,Life Sciences,1,1533,4,Male,54,4,2,Manufacturing Director,3,Married,1134,6624,7,Y,No,11,3,4,80,1,8,2,3,5,7,0,10
26,No,Travel_Rarely,702,Sales,8,2,Life Sciences,1,972,3,Male,51,2,2,Research Scientist,2,Married,2707,26999,1,Y,No,21,4,4,80,2,11,3,3,8,11,0,0
37,No,Travel_Frequently,869,Sales,3,3,Marketing,1,835,2,Male,91,3,4,Sales Representative,4,Single,7107,12024,6,Y,No,17,3,4,80,1,11,3,3,6,4,1,0
50,No,Travel_Rarely,1263,Research & Development,22,4,Life Sciences,1,1764,4,Female,76,3,2,Sales Representative,4,Single,11361,12398,8,Y,No,12,3,1,80,0,7,2,2,0,4,1,3
27,Yes,Travel_Rarely,977,Research & Development,3,3,Marketing,1,406,1,Male,71,3,3,Laboratory Technician,1,Married,6939,14581,3,Y,Yes,24,3,1,80,1,20,2,3,7,0,6,7
21,No,Travel_Frequently,1045,Sales,4,1,Medical,1,1218,4,Female,73,2,1,Manufacturing Director,2,Divorced,3719,9917,9,Y,No,11,3,3,80,2,9,3,3,21,1,2,6
35,No,Travel_Frequently,255,Research & Development,10,4,Medical,1,2055,4,Female,68,3,1,Research Scientist,4,Married,11713,10883,4,Y,No,23,3,4,80,0,9,2,3,13,0,1,13
49,Yes,Travel_Rarely,842,Sales,7,3,Medical,1,324,2,Male,92,3,1,Manufacturing Director,3,Married,2219,8138,4,Y,Yes,18,4,2,80,0,13,2,2,6,3,0,4
36,No,Travel_Rarely,344,Research & Development,2,3,Other,1,1527,3,Male,66,2,2,Research Scientist,4,Married,1889,18853,3,Y,No,12,3,2,80,1,8,2,4,11,7,1,0
48,No,Non-Travel,1195,Research & Development,21,3,Medical,1,1362,4,Male,95,3,1,Research Director,4,Single,3473,5261,1,Y,No,19,3,3,80,0,20,3,3,2,3,0,2
37,No,Travel_Rarely,268,Research & Development,9,3,Other,1,10,3,Female,62,2,2,Human Resources,3,Married,4583,23311,1,Y,No,24,3,4,80,0,6,3,4,14,8,3,0
26,No,Travel_Rarely,1052,Research & Development,1,4,Medical,1,651,3,Male,54,3,2,Manufacturing Director,3,Married,5520,8983,0,Y,No,15,3,3,80,0,20,2,3,16,1,2,2
25,No,Non-Travel,265,Research & Development,8,5,Medical,1,264,1,Male,100,2,1,Manufacturing Director,4,Married,3750,2594,8,Y,No,13,3,4,80,2,9,5,3,5,2,2,9
33,Yes,Non-Travel,957,Research & Development,13,4,Life Sciences,1,572,4,Female,91,3,3,Research Scientist,2,Single,3589,15432,0,Y,Yes,12,4,4,80,1,22,3,3,2,3,5,0
51,Yes,Travel_Rarely,688,Research & Development,29,3,Medical,1,2068,3,Male,59,3,1,Healthcare Representative,3,Married,7519,7288,4,Y,Yes,12,3,3,80,0,7,2,2,6,12,1,9
27,No,Travel_Frequently,876,Research & Development,2,4,Life Sciences,1,1346,3,Female,34,2,2,Research Scientist,2,Single,2817,6556,1,Y,No,11,3,3,80,0,5,2,1,5,6,0,2
34,Yes,Travel_Rarely,1221,Sales,1,3,Life Sciences,1,1106,2,Female,57,3,2,Research Scientist,4,Divorced,4376,11953,4,Y,Yes,12,3,2,80,0,9,4,3,1,12,14,0
43,No,Non-Travel,1437,Research & Development,22,2,Life Sciences,1,933,2,Male,50,3,1,Laboratory Technician,2,Single,8461,10469,4,Y,No,19,4,3,80,3,7,2,2,2,0,0,8
28,No,Travel_Rarely,931,Sales,1,2,Life Sciences,1,965,1,Male,38,4,2,Sales Executive,3,Married,11356,26967,1,Y,No,14,3,3,80,1,12,6,3,6,9,0,2
28,No,Travel_Rarely,601,Human Resources,3,4,Life Sciences,1,1973,2,Male,80,3,2,Manufacturing Director,3,Single,16779,2829,0,Y,Yes,12,3,4,80,1,1,2,3,5,2,2,8
50,No,Travel_Frequently,494,Research & Development,20,3,Life Sciences,1,251,3,Female,80,2,2,Laboratory Technician,3,Married,3876,20059,2,Y,No,14,3,4,80,2,7,0,4,13,12,1,9
27,Yes,Travel_Rarely,479,Research & Development,9,3,Technical Degree,1,769,2,Female,37,3,2,Healthcare Representative,1,Married,3258,4169,2,Y,Yes,15,3,4,80,1,8,0,2,9,2,0,7
29,No,Travel_Rarely,771,Sales,14,1,Life Sciences,1,454,3,Male,30,3,3,Healthcare Representative,3,Single,13784,5267,6,Y,Yes,17,3,4,80,1,16,3,4,2,11,0,2
50,Yes,Non-Travel,1321,Research & Development,23,3,Technical Degree,1,1094,4,Female,91,2,4,Research Scientist,2,Single,3393,23733,1,Y,Yes,14,3,2,80,1,27,0,2,7,2,0,8
52,No,Travel_Frequently,1287,Sales,3,3,Marketing,1,1288,3,Male,54,3,3,Manager,4,Married,3033,21757,2,Y,Yes,18,3,1,80,0,17,1,2,5,3,0,0
52,No,Travel_Rarely,1434,Human Resources,3,3,Life Sciences,1,101,3,Female,45,3,1,Sales Executive,3,Single,16863,22943,1,Y,No,14,3,2,80,1,22,1,2,13,3,2,5
51,No,Travel_Rarely,839,Sales,2,3,Medical,1,1956,1,Male,54,3,2,Research Scientist,4,Divorced,7518,18227,0,Y,No,17,4,2,80,0,14,2,2,0,2,5,3
57,No,Travel_Rarely,699,Human Resources,6,2,Marketing,1,1335,3,Male,88,3,2,Laboratory Technician,4,Married,3904,9470,1,Y,Yes,16,3,2,80,2,9,3,3,8,9,0,2
28,No,Travel_Frequently,824,Research & Development,4,3,Life Sciences,1,733,4,Male,59,3,3,Research Scientist,4,Married,2014,4886,0,Y,Yes,15,3,3,80,1,12,3,2,4,7,2,1
37,No,Non-Travel,1031,Research & Development,5,4,Medical,1,654,1,Male,35,3,1,Research Scientist,4,Single,16742,15668,5,Y,Yes,11,3,4,80,0,21,2,1,5,8,1,2
44,No,Travel_Rarely,832,Research & Development,16,3,Life Sciences,1,1654,4,Male,100,3,1,Healthcare Representative,2,Divorced,18056,26999,1,Y,No,17,3,1,80,0,10,2,3,8,9,6,3
27,No,Non-Travel,404,Sales,1,4,Medical,1,1340,3,Male,49,2,2,Research Scientist,1,Married,6728,7224,2,Y,No,25,3,3,80,3,22,2,3,11,2,3,14
38,No,Travel_Frequently,362,Research & Development,2,2,Life Sciences,1,1003,3,Female,88,2,2,Research Scientist,1,Single,3889,24401,5,Y,No,17,3,2,80,1,4,6,2,2,11,5,3
40,No,Travel_Rarely,1434,Research & Development,1,2,Medical,1,230,4,Male,71,3,4,Research Scientist,2,Single,5191,6337,1,Y,No,14,3,2,80,1,27,2,3,7,3,1,1
34,No,Travel_Rarely,806,Sales,18,4,Medical,1,1812,2,Female,71,2,1,Research Scientist,4,Divorced,5261,12212,1,Y,No,14,3,2,80,3,7,2,3,3,6,7,3
52,No,Travel_Rarely,595,Research & Development,13,3,Medical,1,1679,3,Male,49,3,1,Manufacturing Director,1,Single,3226,17468,9,Y,No,25,3,1,80,0,24,3,2,13,3,0,1
51,No,Travel_Frequently,857,Research & Development,1,4,Medical,1,731,3,Male,82,3,1,Sales Executive,4,Divorced,3054,19942,1,Y,No,12,3,3,80,2,4,5,3,4,0,7,0
26,No,Travel_Rarely,384,Research & Development,1,4,Life Sciences,1,1781,4,Female,85,3,2,Laboratory Technician,3,Single,13435,17361,1,Y,No,13,4,3,80,0,2,0,2,12,9,0,3
35,No,Non-Travel,123,Research & Development,5,3,Life Sciences,1,1381,2,Female,100,3,2,Healthcare Representative,2,Single,7553,5837,1,Y,No,22,4,3,80,3,7,3,1,10,7,0,3
36,Yes,Non-Travel,591,Research & Development,10,1,Technical Degree,1,1872,3,Male,43,3,2,Manufacturing Director,1,Married,2663,9048,0,Y,Yes,14,3,3,80,0,17,2,3,13,2,0,0
54,No,Travel_Frequently,230,Sales,7,4,Life Sciences,1,1775,4,Female,69,3,1,Research Director,2,Divorced,8694,17473,0,Y,Yes,15,3,1,80,0,10,3,4,6,1,6,0
